# Gamemaster Commands
GMCommands.Error:							오류: {0}
GMCommands.Jump.Pushed:						현재 위치를 저장했습니다
GMCommands.Jump.PushedTotal:				(총 {0}개)
GMCommands.Jump.PopInstructions:			돌아가려면 '/jump pop'을 입력하세요.
GMCommands.Jump.NothingPushed:				스택에 저장된 위치가 없습니다. 먼저 '/jump push'를 사용해야 합니다.

## /offlinejump
GMCommands.Offlinejump.Description:         오프라인 상태의 캐릭터를 지정한 위치로 이동시킵니다.
GMCommands.Offlinejump.Usage.Jail:			'/offlinejump <PlayerName> to jail' - 플레이어를 감옥으로 이동시킵니다
GMCommands.Offlinejump.Usage.Capital:		'/offlinejump <PlayerName> to capital' - 플레이어를 해당 렐름의 수도로 이동시킵니다

## /keep
GMCommands.Keep.Description:				성 생성 및 관리 명령어입니다!
GMCommands.Keep.Usage.FastCreate:			'/keep fastcreate <type> <id> <name>' 기본 템플릿으로 성을 생성합니다
GMCommands.Keep.Usage.FastCreate.Info:		'/keep fastcreate' 빠른 생성에 사용할 수 있는 모든 템플릿을 표시합니다
GMCommands.Keep.Usage.Create:				'/keep create <keepid> <baselevel> <radius (set to 0 for default)> <name>' 성을 생성합니다
GMCommands.Keep.Usage.TowerCreate:			'/keep towercreate <keepid> <baselevel> <name>' 타워를 생성합니다
GMCommands.Keep.Usage.Remove:				'/keep remove' 데이터베이스에서 성을 삭제합니다
GMCommands.Keep.Usage.Name:					'/keep name <Name>' 이름을 변경합니다
GMCommands.Keep.Usage.KeepID:				'/keep keepid <keepID>' 성에 KeepID를 지정합니다
GMCommands.Keep.Usage.Level:				'/keep level <level>' 성의 레벨을 변경합니다
GMCommands.Keep.Usage.BaseLevel:			'/keep baselevel <level>' 성의 기본 레벨을 변경합니다
GMCommands.Keep.Usage.Move:				'/keep move {{[x,y,z,h] [amount]}}' 관리자 전용
GMCommands.Keep.Usage.SkinType:			'/keep skintype [0 = any, 1 = old, 2 = new]' 성이 구형 또는 신형 스킨을 사용하도록 강제합니다
# GMCommands.Keep.Usage.MoveHere:			'/keep movehere' To move keep to player position
# GMCommands.Keep.Usage.AddComponent:		'/keep addcomponent <compx> <compy> <comphead> <skin> <height>' To add component to current keep
GMCommands.Keep.Usage.Save:					'/keep save' 성을 DB에 저장합니다
GMCommands.Keep.Usage.AddTeleporter:		'/keep addteleporter' 텔레포트 스톤을 생성합니다
GMCommands.Keep.Usage.AddBanner:			'/keep addbanner <realm|guild>' 배너를 생성합니다
GMCommands.Keep.Usage.Realm:				'/keep realm <newrealm>' 성의 렐름을 변경합니다
GMCommands.Keep.Usage.Radius:				'/keep radius <newRadius (set to 0 for default)>' 성의 반경을 변경합니다
GMCommands.Keep.FastCreate.TypeOfKeep:		성 타입:
GMCommands.Keep.FastCreate.CompCreated:		CompID={0}; KeepID={1}
GMCommands.Keep.FastCreate.KeepCreated:		성을 생성했습니다.
GMCommands.Keep.FastCreate.InvalidParameters:	Keep Type, Keep ID 또는 Keep Name 매개변수가 올바르지 않습니다
GMCommands.Keep.FastCreate.KeepIDMustBeUnusedLessThan256:	KeepID는 사용 중이지 않아야 하며 256보다 작아야 합니다.
GMCommands.Keep.FastCreate.WrongType:		잘못된 성 타입입니다
GMCommands.Keep.TowerCreate.InvalidKeepID:	KeepID 입력이 올바르지 않습니다!
GMCommands.Keep.TowerCreate.KeepIDExists:	KeepID {0}이(가) 이미 존재합니다!
GMCommands.Keep.TowerCreate.WrongKeepID:	잘못된 KeepID({0})입니다. 타워 KeepID는 255보다 커야 합니다!
GMCommands.Keep.TowerCreate.InvalidBaseLev:	BaseLevel 입력이 올바르지 않습니다!
GMCommands.Keep.TowerCreate.CreatedSaved:	현재 위치에 타워를 생성하고 저장했습니다!
GMCommands.Keep.Remove.YourNotInAKeepArea:	성 지역 안에 있지 않습니다!
GMCommands.Keep.Remove.KeepUnloaded:		성을 언로드했습니다!
GMCommands.Keep.Remove.MustCreateKeepFirst:	먼저 성을 생성해야 합니다.
GMCommands.Keep.Remove.YouChangeKeepName:	현재 성의 이름을 {0}(으)로 변경했습니다.
GMCommands.Keep.KeepID.Changed:			현재 성의 ID를 {0}(으)로 변경했습니다.
GMCommands.Keep.Level.YouChangeKeepLevel:	현재 성의 레벨을 {0}(으)로 변경했습니다.
GMCommands.Keep.BaseLevel.YouChangeBaseLev:	현재 성의 기본 레벨을 {0}(으)로 변경했습니다.
GMCommands.Keep.Realm.YouChangeKeepRealm:	현재 성의 렐름을 {0}(으)로 변경했습니다.
GMCommands.Keep.Radius.YouChangeKeepRadius:	현재 성의 반경을 {0}(으)로 변경했습니다.
GMCommands.Keep.Save.KeepSavedInDatabase:	성을 데이터베이스에 저장했습니다.
GMCommands.Keep.AddTeleport.StoneAdded:		텔레포트 스톤을 추가했습니다!
GMCommands.Keep.AddBanner.BannerAdded:		배너를 추가했습니다!
GMCommands.Keep.Move.Usage:				/keep move [direction] [amount]
GMCommands.Keep.Move.Moved:				성을 이동했습니다. 변경 사항을 저장하려면 '/keep save'를 잊지 마세요.
GMCommands.Keep.SkinType.Usage:			/keep skintype [0 = any, 1 = old, 2 = new]
GMCommands.Keep.SkinType.Changed:			성 스킨 타입을 {0}(으)로 변경했습니다. 변경 사항을 저장하려면 '/keep save'를 잊지 마세요.

## /keepguard
GMCommands.KeepGuard.Description:			성 가드 관련 명령어입니다!
GMCommands.KeepGuard.Information:			가드의 다른 매개변수를 변경하려면 '/mob' 명령을 사용하세요.
GMCommands.KeepGuard.Usage.Create:			'/keepguard create <lord|fighter|archer|healer|stealther|caster|merchant|currencymerchant|hastener|mission|patrol|corpsesummoner|gatekeeperin|gatekeeperout> <static(궁수와 캐스터는 선택 사항)>'.
GMCommands.KeepGuard.Usage.Position.Add:	'/keepguard position add <height(선택 사항)>'.
GMCommands.KeepGuard.Usage.Position.Remove:	'/keepguard position remove'.
GMCommands.KeepGuard.Usage.Path.Create:		'/keepguard path create'.
GMCommands.KeepGuard.Usage.Path.Add:		'/keepguard path add'.
GMCommands.KeepGuard.Usage.Path.Save:		'/keepguard path save'.
GMCommands.KeepGuard.Create.NoKCompTarget:	순찰을 생성하려면 성 구성요소를 대상으로 선택해야 합니다!
GMCommands.KeepGuard.Create.GuardAdded:		가드를 추가했습니다!
GMCommands.KeepGuard.Create.PatrolNameRequired: 이 순찰의 이름을 입력해야 합니다.
GMCommands.KeepGuard.Create.KeepTypeRequired: 이 순찰이 사용할 성 유형을 입력해야 합니다.
GMCommands.KeepGuard.Create.InvalidKeepType: 지정한 성 유형이 올바르지 않습니다.
GMCommands.KeepGuard.Create.PatrolCreatedForKeepType: 성 유형 {0}에 대한 순찰을 생성했습니다.
GMCommands.KeepGuard.Position.PAlreadyAss:	높이 {0}에 이미 위치가 지정되어 있습니다. 먼저 제거하세요!
GMCommands.KeepGuard.Position.GuardPAdded:	가드 위치를 추가했습니다
GMCommands.KeepGuard.Position.TargetGuard:	먼저 가드를 대상으로 선택하세요!
GMCommands.KeepGuard.Position.GuardRemoved:	가드 위치를 제거했습니다!
GMCommands.KeepGuard.Path.CreationStarted:	경로 생성을 시작했습니다! 이제 '/keepguard path add'로 새 경로 지점을 추가할 수 있습니다!
GMCommands.KeepGuard.Path.NoPathCreatedYet:	아직 생성된 경로가 없습니다! 먼저 '/keepguard path create'를 사용하세요!
GMCommands.KeepGuard.Path.NoValidSpLimit:	올바른 속도 제한이 아닙니다: '{0}'!
GMCommands.KeepGuard.Path.PPAdded:			경로 지점을 추가했습니다. 현재 경로 길이 = {0}.
GMCommands.KeepGuard.Path.TargPatrolGuard:	먼저 순찰 가드를 대상으로 선택하세요!
GMCommands.KeepGuard.Path.Saved:			경로를 저장했습니다
GMCommands.KeepGuard.Path.PatrolGroupsInitialized: 순찰 그룹을 초기화했습니다!

## /setsalvage
GMCommands.SetSalvage.Syntax:               /setsalvage - 수정할 아이템은 마지막 배낭 슬롯에 있어야 합니다. 아이템은 자동으로 저장 및 갱신됩니다.
GMCommands.SetSalvage.ItemCannotBeConfigured: 이 아이템은 설정할 수 없습니다.
GMCommands.SetSalvage.PriceChanged:         {0} 가격을 {1}에서 {2}(으)로 변경했습니다!

## /kick
GMCommands.Kick.Description:				선택한 플레이어를 서버에서 추방합니다.
GMCommands.Kick.Usage:						'/kick <PlayerName>' 플레이어를 추방합니다.
GMCommands.Kick.NoPlayerOnLine:				해당 이름으로 접속 중인 플레이어가 없어 추방할 수 없습니다!
GMCommands.Kick.RemovedFromServer:			서버에서 추방되었습니다!
GMCommands.Kick.RemovedFromServerByGM:		GM {0}에 의해 서버에서 추방되었습니다!

## /merchant
GMCommands.Merchant.Description:			상인 생성 및 관리 명령어입니다!
GMCommands.Merchant.Usage.Create:			'/merchant create' 빈 상인을 생성합니다;
GMCommands.Merchant.Usage.CreateType:		'/merchant create <type>' 지정한 클래스 타입의 빈 상인을 생성합니다;
GMCommands.Merchant.Usage.Info:				'/merchant info' 상인 정보를 표시합니다;
GMCommands.Merchant.Usage.Save:				'/merchant save' 이 상인을 DB에 새 오브젝트로 저장합니다;
GMCommands.Merchant.Usage.Remove:			'/merchant remove' 이 상인을 DB에서 제거합니다;
GMCommands.Merchant.Usage.Sell:				'/merchant sell add <itemsListTemplateID>' 이 상인에게 판매 목록 템플릿을 지정합니다;
GMCommands.Merchant.Usage.SellRemove:		'/merchant sellremove' 상인에서 판매 목록 템플릿을 제거합니다;
GMCommands.Merchant.Usage.Articles.Add:		'/merchant articles add <itemTemplateID> <pageNumber> [slot]' 상인 판매 목록 템플릿에 아이템을 추가합니다;
GMCommands.Merchant.Usage.Articles.Remove:	'/merchant articles remove <pageNumber> <slot>' 상인 인벤토리 판매 목록 템플릿의 지정 슬롯에서 아이템을 제거합니다;
GMCommands.Merchant.Usage.Articles.Delete:	'/merchant articles delete' 상인의 인벤토리 판매 목록 템플릿을 삭제합니다;
GMCommands.Merchant.Usage.Type:				'/merchant type <classtype>';
GMCommands.Merchant.CommandOverview:		명령어 개요를 보려면 /merchant를 입력하세요
GMCommands.Merchant.ErrorCreateInstance:	{0} 인스턴스를 생성하는 중 오류가 발생했습니다!
GMCommands.Merchant.Create.NewName:			새 상인
GMCommands.Merchant.Create.NewGuildName:	일반 상인
GMCommands.Merchant.Create.Created:			상인 생성됨: OID={0}
GMCommands.Merchant.Info.ArtListIsEmpty:	상인 판매 목록이 비어 있습니다!
GMCommands.Merchant.Info.ArtList:			상인 판매 목록: "{0}"
GMCommands.Merchant.NewName:			새 상인
GMCommands.Merchant.NewGuildName:		상인
GMCommands.Merchant.Save.SavedInDB:			대상 상인을 DB에 저장했습니다!
GMCommands.Merchant.Remove.RemovedFromDB:	대상 상인을 DB에서 제거했습니다!
GMCommands.Merchant.Sell.Add.Loaded:		상인 판매 목록을 불러왔습니다!
GMCommands.Merchant.Sell.Remove.Removed:	상인 판매 목록을 제거했습니다!
GMCommands.Merchant.Articles.ListNoFound:				상인 판매 목록을 찾을 수 없습니다!
GMCommands.Merchant.Articles.Add.ItemTemplateNoFound:	ID가 {0}인 ItemTemplate을 찾을 수 없습니다!
GMCommands.Merchant.Articles.Add.PageAndSlotInvalid:	페이지 번호({0})는 0부터 {1} 사이, 슬롯({2})은 0부터 {3} 사이여야 합니다.
GMCommands.Merchant.Articles.Add.ItemAdded:				상인 판매 목록에 아이템을 추가했습니다!
GMCommands.Merchant.Articles.Remove.PageInvalid:		페이지 번호({0})는 [0-{1}] 사이여야 합니다!
GMCommands.Merchant.Articles.Remove.SlotInvalid:		슬롯({0})은 [0-{1}] 사이여야 합니다!
GMCommands.Merchant.Articles.Remove.SlotInPageIsAEmpty:	페이지 {1}의 슬롯 {0}은(는) 이미 비어 있습니다.
GMCommands.Merchant.Articles.Remove.SlotInPageCleaned:	상인 판매 목록의 페이지 {1}, 슬롯 {0}을(를) 비웠습니다!
GMCommands.Merchant.Articles.Delete.DeletingListTemp:	판매 목록 템플릿을 삭제 중입니다...
GMCommands.Merchant.Articles.Delete.ListDeleted:		상인 판매 목록을 삭제했습니다.
GMCommands.Merchant.Type.Changed:			상인 타입을 {0}(으)로 변경했습니다.

## /path
GMCommands.Path.CreateStarted:			경로 생성을 시작했습니다! 이제 '/path add'로 새 경로 지점을 추가할 수 있습니다.
GMCommands.Path.NoPathCreateFirst:			아직 생성된 경로가 없습니다. 먼저 /path create를 사용하세요.
GMCommands.Path.NoPathCreateOrLoadFirst:	아직 생성된 경로가 없습니다. 먼저 /path create 또는 /path load를 사용하세요.
GMCommands.Path.InvalidSpeedLimit:			올바른 속도 제한이 아닙니다: '{0}'.
GMCommands.Path.InvalidWaitTime:			올바른 대기 시간이 아닙니다: '{0}'.
GMCommands.Path.PathPointAdded:				경로 지점을 추가했습니다. 현재 경로 길이는 {0}입니다.
GMCommands.Path.AllPointsSpeedSet:			모든 경로 지점의 속도를 {0}(으)로 설정했습니다.
GMCommands.Path.SelectMobFirst:				먼저 몹을 선택해야 합니다.
GMCommands.Path.NpcTravelPath:				{0}에게 경로를 따라 이동하도록 지시했습니다.
GMCommands.Path.NpcWalkToSpawn:				{0}에게 스폰 위치로 돌아가도록 지시했습니다.
GMCommands.Path.Usage.Type:					사용법: /path type <pathtype>
GMCommands.Path.CurrentType:				현재 경로 타입은 '{0}'입니다.
GMCommands.Path.PossibleTypes:				가능한 경로 타입 값:
GMCommands.Path.TypeMustBeOneOf:			PathType은 다음 중 하나여야 합니다:
GMCommands.Path.TypeSet:					현재 경로 타입을 '{0}'(으)로 설정했습니다.
GMCommands.Path.Usage.Load:					사용법: /path load <pathname>
GMCommands.Path.NotFound:					경로 '{0}'을(를) 찾을 수 없습니다.
GMCommands.Path.Loaded:						경로 '{0}'을(를) 불러왔습니다.
GMCommands.Path.Usage.Save:					사용법: /path save <pathname>
GMCommands.Path.SavedAs:					경로를 '{0}'(으)로 저장했습니다.
GMCommands.Path.Usage.AssignTaxiRoute:		사용법: /path assigntaxiroute <destination>
GMCommands.Path.SelectStableMaster:			택시 경로를 지정하려면 먼저 마구간 주인을 선택해야 합니다.
GMCommands.Path.StableMasterMissingTicket:	마구간 주인에게 {0}이(가) 없습니다.
GMCommands.Path.TaxiRouteSet:				택시 경로를 경로 '{0}'(으)로 설정했습니다.
GMCommands.Path.VisualizationToggled:		{0} ({1})의 경로 시각화를 전환합니다.

## /mob

## /object
GMCommands.Object.Info.BlankName:			(이름 없음)
GMCommands.Object.Info.OID:					OID: {0}
GMCommands.Object.Info.Type:				타입: {0}
GMCommands.Object.Info.Name:				이름: {0}
GMCommands.Object.Info.Model:				모델: {0}
GMCommands.Object.Info.Emblem:				엠블럼: {0}
GMCommands.Object.Info.Realm:				렐름: {0}
GMCommands.Object.Info.Owner:				소유자: {0}
GMCommands.Object.Info.OwnerID:				소유자 ID: {0}
GMCommands.Object.Info.RespawnInterval:		리스폰 간격(초): {0}
GMCommands.Object.Info.Count:				수량: {0}
GMCommands.Object.Info.Location:			위치: X= {0} ,Y= {1} ,Z= {2}
GMCommands.Object.Created:					오브젝트 생성됨: OID={0}
GMCommands.Object.CreatedWithSpaces:		오브젝트 생성됨: OID = {0}
GMCommands.Object.ModelChanged:				오브젝트 모델을 {0}(으)로 변경했습니다.
GMCommands.Object.HighestModelReached:		가장 높은 오브젝트 모델에 도달했습니다!
GMCommands.Object.ModelCannotBeZero:		오브젝트 모델은 0이 될 수 없습니다!
GMCommands.Object.EmblemChanged:			오브젝트 엠블럼을 {0}(으)로 변경했습니다.
GMCommands.Object.RealmChanged:				오브젝트 렐름을 {0}(으)로 변경했습니다.
GMCommands.Object.NameChanged:				오브젝트 이름을 {0}(으)로 변경했습니다.
GMCommands.Object.NameRemoved:				오브젝트 이름을 제거했습니다.
GMCommands.Object.CreateInstanceError:		{0} 인스턴스를 생성하는 중 오류가 발생했습니다!
GMCommands.Object.SavedToDatabase:			오브젝트를 데이터베이스에 저장했습니다.
GMCommands.Object.RemovedFromClientsAndDatabase:	오브젝트를 클라이언트와 데이터베이스에서 제거했습니다.
GMCommands.Object.TargetSetToNearest:		가장 가까운 오브젝트를 대상으로 지정했습니다!
GMCommands.Object.NoObjectsInRange:			{0} 유닛 범위 안에 오브젝트가 없습니다!
GMCommands.Object.RespawnIntervalSet:		오브젝트 리스폰 간격을 {0}초로 설정했습니다.
GMCommands.Object.DataQuestsLoaded:			이 오브젝트의 데이터 퀘스트 {0}개를 불러왔습니다.
GMCommands.Object.RefreshQuestsError:		퀘스트를 새로고침하는 중 오류가 발생했습니다.

## /mute
GMCommands.Mute.Err.NoSpeakChannel:                   음소거 상태라 이 채널에서 말할 수 없습니다.
GMCommands.Mute.Err.NoUseCommand:                     음소거 상태라 이 명령어를 사용할 수 없습니다.

## /team or /te
GMCommands.Header.Command.Team:                         <----- '/team' 명령어 (plvl 2) ----->
GMCommands.Team.Syntax.Team:                            '/team <message>' 또는 '/te <message>'
GMCommands.Team.Usage.Team:                             모든 서버 팀원(plvl 2 이상)에게 메시지를 방송합니다.

## /viewreports
Scripts.Player.ViewReport.Usage: 			사용법:
Scripts.Player.ViewReport.Help.Close:			'/viewreport close <report #>' - 해당 ID의 리포트를 닫습니다.
Scripts.Player.ViewReport.Help.Delete:			'/viewreport delete <report #>' - 해당 ID의 리포트를 삭제합니다.
Scripts.Player.ViewReport.InvalidReport:		올바른 리포트가 아닙니다.
Scripts.Player.ViewReport.UnknownCommand:		올바른 명령어가 아닙니다.
Scripts.Player.ViewReport.ReportDeleted:		리포트 {0}이(가) 삭제되었습니다.
Scripts.Player.ViewReport.NoPriv:			리포트를 수정할 권한이 없습니다.

## Misc Commands
### /ban (OLD)
Scripts.GM.Ban.AAlreadyBanned:				이 계정은 이미 차단되어 있습니다.
Scripts.GM.Ban.ABanned:					계정 {0}이(가) 차단되었습니다.
Scripts.GM.Ban.BAlreadyBanned:				이 계정과 IP는 이미 차단되어 있습니다.
Scripts.GM.Ban.BBanned:					계정 {0} 및 IP {1}이(가) 차단되었습니다.
Scripts.GM.Ban.IAlreadyBanned:				이 IP는 이미 차단되어 있습니다.
Scripts.GM.Ban.IBanned:					IP {0}이(가) 차단되었습니다.
Scripts.GM.Ban.MustTarget:				대상을 선택해야 합니다!

## /keepcomponent
GMCommands.KeepComponents.Description:		성 구성요소 생성 명령어입니다!
GMCommands.KeepComponents.Usage.Create.TID:	'/keepcomponent create <type> <keepid>' 성 구성요소를 생성합니다.
GMCommands.KeepComponents.Usage.Create.T:	'/keepcomponent create <type>' 성 구성요소를 생성하고 가장 가까운 성에 연결합니다.
GMCommands.KeepComponents.Usage.Skin:		'/keepcomponent skin <skin>' 스킨을 변경합니다.
GMCommands.KeepComponents.Usage.Delete:		'/keepcomponent delete' 구성요소를 삭제합니다.
GMCommands.KeepComponents.Create.KCCreated:	성 구성요소를 생성했습니다.
GMCommands.KeepComponents.Skin.YChangeSkin:	현재 성 구성요소의 스킨을 변경했습니다.
GMCommands.KeepComponents.Delete.YDeleteKC:	현재 구성요소를 삭제했습니다.

### /minorelic
GMCommands.MinoRelic.Description:			미노타우르스 렐릭 관련 명령어입니다
GMCommands.MinoRelic.Usage.Create:			'/minorelic create <Name> <Model> <Group/Self/Realm> <SpellID> <Effect / 159 = red, 160 = white, 161 = gold>' 지정한 인수로 새 렐릭을 생성합니다;
GMCommands.MinoRelic.Usage.MoveHere:		'/minorelic movehere' 렐릭을 플레이어의 x, y, z 위치로 이동하고 해당 좌표를 스폰 위치로 저장합니다;
GMCommands.MinoRelic.Usage.Name:			'/minorelic name <Name>' 이름을 변경합니다;
GMCommands.MinoRelic.Usage.Spell:			'/minorelic spell <SpellID>' 렐릭에 주문 ID를 지정합니다;
GMCommands.MinoRelic.Usage.Model:			'/minorelic model <Model>' 모델을 변경합니다;
GMCommands.MinoRelic.Usage.Effect:			'/minorelic effect <Effect / 159 = red, 160 = white, 161 = gold>' 플레이어가 렐릭을 집었을 때 받는 효과를 변경합니다;
GMCommands.MinoRelic.Usage.Info:			'/minorelic info' 렐릭 정보를 조회합니다;
GMCommands.MinoRelic.Usage.DeSpawn:			'/minorelic despawn' 렐릭을 디스폰합니다;
GMCommands.MinoRelic.Usage.Remove:			'/minorelic remove' 월드와 데이터베이스에서 렐릭을 제거합니다;
GMCommands.MinoRelic.Usage.XP:				'/minorelic xp <amount>' 렐릭에 지정한 양의 XP를 부여합니다;
GMCommands.MinoRelic.Usage.ShowAll:			'/minorelic showall' 모든 렐릭을 표시합니다;
GMCommands.MinoRelic.Usage.Spawn:			'/minorelic spawn <ID>' 해당 ID의 렐릭을 스폰합니다;
GMCommands.MinoRelic.Info.RelicInfo:		렐릭 정보
GMCommands.MinoRelic.Info.Name:				- 이름: {0}
GMCommands.MinoRelic.Info.ID:				- ID: {0}
GMCommands.MinoRelic.Info.CurrentXP:		- 현재 렐릭 XP: {0}
GMCommands.MinoRelic.Info.Level:			- 레벨: {0}
GMCommands.MinoRelic.Info.Effect:			- 효과: {0}
GMCommands.MinoRelic.Info.PositionInfo:		위치 정보
GMCommands.MinoRelic.Info.SpawnX:			- 스폰 X: {0}
GMCommands.MinoRelic.Info.SpawnY:			- 스폰 Y: {0}
GMCommands.MinoRelic.Info.SpawnZ:			- 스폰 Z: {0}
GMCommands.MinoRelic.Info.SpawnHeading:		- 스폰 방향: {0}
GMCommands.MinoRelic.Info.SpawnRegion:		- 스폰 지역: {0}
GMCommands.MinoRelic.Info.SpellInfo:		주문 정보
GMCommands.MinoRelic.Info.SpellID:			- 주문 ID: {0}
GMCommands.MinoRelic.Info.SpellTarget:		- 주문 대상: {0}
GMCommands.MinoRelic.Info.SpellName:		- 주문 이름: {0}
GMCommands.MinoRelic.Info.SpellType:		- 주문 타입: {0}
GMCommands.MinoRelic.Info.SpellDuration:	- 주문 지속시간: {0}초
GMCommands.MinoRelic.ShowAll.Infos:			렐릭 정보
GMCommands.MinoRelic.ShowAll.Count:			렐릭 수: {0}
GMCommands.MinoRelic.Spawn.AlreadySpawned:	렐릭이 이미 스폰되어 있습니다

## /zonepoint or /zp
GMCommands.Zonepoint.Description:			현재 플레이어 위치에 존포인트를 추가합니다.
GMCommands.Zonepoint.Usage:					/zonepoint add <id> <realm>
GMCommands.Zonepoint.UsageClass:			/zonepoint add <id> <realm> <class>
GMCommands.Zonepoint.ZonepointAdded:		존포인트를 추가했습니다: ID={0}, 렐름={1}, X={2}, Y={3}, Z={4}, 지역={5}

## /speed
GMCommands.Speed.Description:               선택한 대상의 기본 이동 속도를 변경합니다. 값을 생략하면 현재 속도를 확인합니다.
GMCommands.Speed.Syntax:                    /speed [newSpeed]
GMCommands.Speed.InvalidTarget:             올바른 대상을 선택하지 않았습니다.
GMCommands.Speed.Your:                      당신의
GMCommands.Speed.CurrentSpeed:              {0} 최대 속도는 {1}입니다.
GMCommands.Speed.SpeedChanged:              {0} 최대 속도를 {1}(으)로 변경했습니다.

## /weather
GMCommands.Weather.Description:				현재 지역의 날씨를 설정합니다.
GMCommands.Weather.Usage.Info:				'/weather info' - 현재 지역의 날씨 정보를 확인합니다.
GMCommands.Weather.Usage.StartWithArgs:		'/weather start <line> <duration> <speed> <diffusion> <intensity>' - 현재 지역에 폭풍을 시작합니다.
GMCommands.Weather.Usage.Start:				'/weather start' - 현재 지역에 무작위 폭풍을 시작합니다.
GMCommands.Weather.Usage.Restart:			'/weather restart' - 현재 지역의 폭풍을 다시 시작합니다.
GMCommands.Weather.Usage.Stop:				'/weather stop' - 현재 지역의 폭풍을 중지합니다.
GMCommands.Weather.Restart.Success:			Weather (restart): 현재 지역의 날씨를 다시 시작합니다.
GMCommands.Weather.Restart.Failed:			Weather (restart): 현재 지역의 날씨를 다시 시작할 수 없습니다.
GMCommands.Weather.Stop.Success:			Weather (stop): 현재 지역의 날씨를 중지했습니다.
GMCommands.Weather.Stop.Failed:				Weather (stop): 현재 지역의 날씨를 중지할 수 없습니다.
GMCommands.Weather.Start.Failed:			Weather (start): 현재 지역의 날씨를 시작할 수 없습니다.
GMCommands.Weather.Start.WrongArguments:	Weather (start): 인수가 올바르지 않습니다.
GMCommands.Weather.Start.Success:			Weather (start): 현재 지역의 날씨를 시작했습니다.
GMCommands.Weather.Info.NotRegistered:		Weather (info): 현재 지역에 등록된 날씨가 없습니다.
GMCommands.Weather.Info.Stopped:			Weather (info): 현재 지역의 날씨가 중지된 상태입니다.
GMCommands.Weather.Info.CurrentPosition:	Weather (info): 현재 위치 - {0} - {1}

## /diag
GMCommands.Diagnostics.Description:         서버 성능 진단 로그 출력을 켜거나 끕니다.
GMCommands.Diagnostics.Syntax.Perf:         /diag perf <on|off> [duration] - 서버 성능 진단 로그를 켜거나 끕니다. duration은 선택 사항이며 분 단위입니다.
GMCommands.Diagnostics.Syntax.Notify:       /diag notify <on|off> <interval> - GameEventMgr Notify 프로파일링을 켜거나 끕니다. interval은 통계를 모을 시간(밀리초)입니다.
GMCommands.Diagnostics.Syntax.Tick:         /diag tick <on|off> [threshold] - 틱 프로파일링을 켜거나 끄고, 긴 틱 기준값을 밀리초 단위로 설정합니다.
GMCommands.Diagnostics.Syntax.Object:       /diag object - ServiceObjectStore 배열에서 null이 아닌 서비스 객체 수를 집계합니다.
GMCommands.Diagnostics.ServiceObjectCountScheduled: 다음 틱에 서비스 객체 수를 집계하도록 예약했습니다.
GMCommands.Diagnostics.PerfLoggingOnForMinutes: 성능 진단 로그를 {0}분 동안 켰습니다.
GMCommands.Diagnostics.PerfLoggingOn:       성능 진단 로그를 켰습니다.
GMCommands.Diagnostics.PerfLoggingOff:      성능 진단 로그를 껐습니다.
GMCommands.Diagnostics.InvalidInterval:     interval 인수가 올바르지 않습니다. 밀리초 단위의 양수를 입력하세요.
GMCommands.Diagnostics.NotifyLoggingOn:     GameEventMgr Notify() 로그를 켰습니다.
GMCommands.Diagnostics.NotifyLoggingOff:    GameEventMgr Notify() 로그를 껐습니다.
GMCommands.Diagnostics.InvalidThreshold:    threshold 인수가 올바르지 않습니다. 밀리초 단위의 양수를 입력하세요.
GMCommands.Diagnostics.TickProfilingOn:     틱 프로파일링을 켰습니다. 긴 틱 기준값은 {0}ms입니다.
GMCommands.Diagnostics.TickProfilingOff:    틱 프로파일링을 껐습니다.

## /translate
GMCommands.Translate.Description:			'/translate add [Language] [TranslationId] [Text]'로 새 번역을 추가합니다.
GMCommands.Translate.Help.Debug:			'/translate debug'로 내 LanguageMgr 디버그 모드를 켜거나 끕니다.
GMCommands.Translate.Help.MemAdd:			번역 ID와 문장이 한 줄에 들어가지 않을 때 '/translate memadd [Language] [TranslationId]'로 임시 언어 객체를 만듭니다.
GMCommands.Translate.Help.MemClear:			'/translate memclear'로 임시 언어 객체를 제거합니다.
GMCommands.Translate.Help.MemSave:			'/translate memsave [Text]'로 임시 언어 객체에 문장을 넣고, 데이터베이스에 저장한 뒤 LanguageMgr에 등록합니다.
GMCommands.Translate.Help.MemShow:			'/translate memshow'로 임시 언어 객체의 언어와 번역 ID를 확인합니다.
GMCommands.Translate.Help.Refresh:			'/translate refresh [Language] [TranslationId] [Text]'로 기존 번역을 갱신합니다.
GMCommands.Translate.Help.Select:			번역 ID와 문장이 한 줄에 들어가지 않을 때 '/translate select [Language] [TranslationId]'로 기존 번역을 선택해 임시로 보관합니다.
GMCommands.Translate.Help.SelectClear:		'/translate selectclear'로 선택한 언어 객체를 임시 속성에서 제거합니다.
GMCommands.Translate.Help.SelectSave:		'/translate selectsave [Text]'로 선택한 번역 문장을 갱신하고 데이터베이스에 저장합니다.
GMCommands.Translate.Help.SelectShow:		'/translate selectshow'로 선택한 언어 객체의 언어, 번역 ID, 문장을 확인합니다.
GMCommands.Translate.Help.Show:				'/translate show [Language] [TranslationId]'로 지정한 언어와 번역 ID의 번역 문장을 확인합니다.
