# Languages
System.LanguagesName.EN:				영어
AncientBoundDjinn.Interact.Destinations.Midgard: [스바수드 파스테], [오케아노스], [스티지아], [볼카누스], [에어러스], [아틀란티스 던전], [빈드사울 파스테], [요르드하임], [에기르함], [코볼드] 지하도시, [길드 주택], [개인 주택], [귀환 위치], 또는 [에릭스타드] 주택 지구 중 어디로 가겠습니까?
AncientBoundDjinn.Interact.Destinations.Hibernia: [드루임 리겐], [오케아노스], [스티지아], [볼카누스], [에어러스], [아틀란티스 던전], [드루임 케인], [돔난 숲], [티르 나 노그], [샤르 미궁], [길드 주택], [개인 주택], [귀환 위치], 또는 [미스] 주택 지구 중 어디로 가겠습니까?
AncientBoundDjinn.SubSelection.Oceanus:       오케아노스의 안식처로 보내드릴 수 있습니다. 오케아노스 [헤스페로스], [세투스 구덩이] 입구, 또는 소베카이트 이터널의 거대한 [신전] 높은 곳 중 어디로 가겠습니까?
AncientBoundDjinn.SubSelection.Stygia:        스티지아의 모래빛 안식처인 스티지아 [델타]로 가겠습니까, 아니면 머나먼 [아툼의 땅]으로 가겠습니까?
AncientBoundDjinn.SubSelection.Volcanus:      볼카누스의 안식처에서 [티폰의 영역]으로 접근하겠습니까, 아니면 [투시아 네소스], [아폴로]의 신전, [바줄의 요새], 혹은 [키메라] 본인을 노리는 더 큰 계획이 있습니까?
AncientBoundDjinn.SubSelection.Aerus:         [초록 숲] 바깥의 에어러스 안식처를 찾습니까, 아니면 [탈로스]의 신전으로 가겠습니까?
AncientBoundDjinn.SubSelection.Dungeons:      [소베카이트 이터널], [황혼] 신전, [대피라미드], [마아티의 전당], 볼카누스의 [심연], 또는 에어러스의 [도시]로 들어갈 수 있게 해드릴 수 있습니다.
AncientBoundDjinn.SubSelection.Twilight:      그 어두운 신전의 위대한 여인들 중 한 명을 만나고 싶습니까? [Moirai], [Kepa], [Casta], [Laodameia], [Antioos], [Sinovia], 심지어 [Medusa]도 당신을 저녁 식사에 초대하고 싶어할 겁니다.
AncientBoundDjinn.SubSelection.HallsOfMaati:  어디에 관심이 있습니까? [입구], [아누바이트] 쪽, [An-Uat] 쪽? 아니면 이미 [암무트의 방]에서 마지막 운명을 마주할 준비가 되었습니까?
AncientBoundDjinn.SubSelection.Deep:          [남서쪽] 또는 [북동쪽] 홀의 중재자를 만나겠습니까, [Katorii's] 시선을 마주하겠습니까, 아니면 [티폰 본인] 같은 존재와 싸울 만큼 무모합니까?
AncientBoundDjinn.SubSelection.City:          [포털] 근처 입구, 위대한 통합자 [Lethos], 명성만으로 기억되는 [고대 왕들], 유명한 스승 [Nelos], 가장 잘 알려지고 존경받는 아브리엘 [Katri], 또는 [Phoenix]에게도 보내드릴 수 있습니다.
AncientBoundDjinn.Say:                        {0}이(가) 말합니다, "{1}"
GameKeepDoor.Examine.Select:                  {0}을(를) 선택했습니다.
GameKeepDoor.Examine.YourRealm:               당신의 렐름 소유입니다.
GameKeepDoor.Examine.EnemyAttackable:         적 렐름 소유이며 공격할 수 있습니다!
GameKeepDoor.Examine.EnemyRealm:              적 렐름 소유입니다!
GameKeepDoor.Broken:                          {0}이(가) 파괴되었습니다!
UseSkillHandler.BackupStyle.MustUseAnytime:   백업 스타일로는 애니타임 스타일을 사용해야 합니다.
UseSkillHandler.BackupStyle.NowUsing:         이제 {0}을(를) 백업 스타일로 사용합니다.
UseSpellHandler.SpellCannotResolve:           오류: 주문(라인 {0}, 레벨 {1})을 찾을 수 없습니다...
RegionChange.DestinationUnsupported:          목적지 지역 {0}은(는) 현재 클라이언트 유형에서 지원되지 않습니다.
RegionChange.JumpPointException:              점프 포인트({0}) 처리 중 예외가 발생했습니다.
RegionChange.InvalidJumpPoint:                점프 포인트({0})에 올바른 목적지가 없습니다.
PlayerMoveItem.InvalidItem:                   올바르지 않은 아이템입니다(슬롯 #{0}).
PlayerMoveItem.DroppedOnGround:               {0}을(를) 땅에 내려놓았습니다!
PlayerCommand.NoSuchCommand:                  그런 명령어가 없습니다({0})
Housing.Lockbox.Deposit:                      보관함에 {0}을(를) 넣었습니다.
Housing.Lockbox.Balance:                      보관함에는 현재 {0}이(가) 있습니다. 주간 유지비는 {1}입니다.
Housing.Lockbox.Prepaid:                      주택 유지비가 앞으로 {0}회분 선납되었습니다.
PlayerStatistics.Usage:                       사용법: /stats [rp | lrp | kills | deathblows | irs | heal | rez | player <이름|대상>]
PlayerStatistics.Header:                      이번 세션의 {0} 통계:
PlayerStatistics.TotalRp:                     총 RP: {0}
PlayerStatistics.RpFromKills:                 처치로 획득한 RP: {0}
PlayerStatistics.KillsThatEarnedRp:           RP를 획득한 처치: {0}
PlayerStatistics.Deathblows:                  결정타: {0}
PlayerStatistics.Deaths:                      사망: {0}
PlayerStatistics.HpHealed:                    회복한 HP: {0}, 회복으로 획득한 RP: {1}
PlayerStatistics.Resurrections:               부활시킨 횟수: {0}
PlayerStatistics.OnlineTime:                  접속 시간: {0}일 {1}시간 {2}분 {3}초
PlayerStatistics.RpPerHour:                   시간당 RP: {0}
PlayerStatistics.KillsPerDeath:               사망당 처치: {0}
PlayerStatistics.RpPerKill:                   처치당 RP: {0}
PlayerStatistics.IRemainStanding:             "끝까지 서 있는 자...": {0}
PlayerStatistics.TopRealmPoints:              렐름 포인트 상위 20명\n{0}
PlayerStatistics.TopRpPerHour:                시간당 RP 상위 20명\n{0}
PlayerStatistics.TopKillers:                  처치 상위 20명\n{0}
PlayerStatistics.TopDeathblows:               결정타 상위 20명\n{0}
PlayerStatistics.TopIRemainStanding:          "끝까지 서 있는 자" 상위 20명\n{0}
PlayerStatistics.TopHealers:                  회복 상위 20명\n{0}
PlayerStatistics.TopResurrectors:             부활 상위 20명\n{0}
PlayerStatistics.NoPlayerFound:               {0} 이름의 플레이어를 찾을 수 없습니다!
PlayerStatistics.PrivateStats:                {0}님은 자신의 통계 열람을 허용하지 않았습니다.
SummonedDjinn.Say.Greeting:                  안녕하십니까, 위대한 분이여.
SummonedDjinn.Say.TimeDone:                  이곳에서의 제 시간은 끝났습니다.

## Relics and keeps
Relic.AlreadyCarrying:                    이미 렐릭을 운반 중입니다.
Relic.CantPickupDead:                     사망 상태라 {0}을(를) 집을 수 없습니다!
Relic.CantCarryStealthed:                 은신 상태에서는 렐릭을 운반할 수 없습니다.
Relic.CantPickupOwned:                    {0}은(는) 당신의 렐름 소유라 집을 수 없습니다.
Relic.CantPickupNeedOwn:                  {0}을(를) 집을 수 없습니다. 먼저 자신의 렐름 {1} 렐릭을 점령해야 합니다.
Relic.NeedPlayersOnPad:                   렐릭을 가져가려면 패드 근처에 {0}명의 플레이어가 있어야 합니다.
Relic.NotEnoughBackpackSpace:             이것을 운반할 배낭 공간이 부족합니다.
Keep.RelicKeepCannotClaim:                렐릭 킵은 점령 선언할 수 없습니다.
Keep.UnderAttackCantClaim:                {0}은(는) 공격받는 중이라 점령 선언할 수 없습니다.
Keep.NotOwnedByRealm:                     이 킵은 당신의 렐름 소유가 아닙니다.
Keep.CannotBeClaimed:                     이 킵은 점령 선언할 수 없습니다.
Keep.MustBeInGuild:                       킵을 점령 선언하려면 길드에 속해 있어야 합니다.
Keep.NoGuildClaimPermission:              길드를 대표해 점령 선언할 권한이 없습니다.
Keep.AlreadyClaimed:                      이 킵은 이미 점령 선언되어 있습니다.
Keep.ClaimingDisabled:                    킵 점령 선언이 비활성화되어 있습니다!
Keep.GuildAlreadyOwnsOne:                 당신의 길드는 이미 킵을 소유하고 있습니다.
Keep.GuildOwnsLimit:                      당신의 길드는 이미 소유 가능한 킵 한도({0})에 도달했습니다.
Keep.NotEnoughMembersNearby:              킵 근처의 그룹원이 부족합니다. 현재 {0}/{1}명입니다.
Keep.MustBeInGroup:                       점령 선언하려면 그룹에 속해 있어야 합니다.
Keep.NeedPlayersToClaim:                  점령 선언하려면 {0}명의 플레이어가 필요합니다.
Keep.ControlledBy:                        {0} 길드가 지배 중입니다.

## Keep hookpoints
HookPoint.AlreadyUsed:                    이 훅포인트는 이미 사용 중입니다!
HookPoint.NotEnoughMoney:                 돈이 부족합니다!
HookPoint.NotEnoughBountyPoints:          현상금 포인트가 부족합니다!
HookPoint.BuyItem:                        {0}을(를) 구매했습니다.
HookPoint.NotImplemented:                 이 훅포인트 결제 방식은 아직 구현되지 않았습니다.
Door.Interact.Mesmerized:                 메즈 상태입니다!
Door.Interact.Stunned:                    기절 상태입니다!
KeepLord.CantTalkUnderSiege:              공성 중에는 로드와 대화할 수 없습니다.
KeepLord.ClaimOrReleasePrompt:            지금 [킵 점령]을 하시겠습니까? 아니면 [킵 해제]를 하시겠습니까?
CustomTeleporter.Boss.RequireLevelGroup:  이 텔레포터를 사용하려면 50레벨이며 그룹에 속해 있어야 합니다.
CustomTeleporter.Boss.Greeting:           반갑습니다, {0}.\n\n자신 있다면 [보스 투기장]으로 보내드릴 수 있습니다.
CustomTeleporter.Battle.Greeting:         반갑습니다, {0}.\n\n비밀을 지키겠다고 약속한다면 [결투장]으로 보내드릴 수 있습니다.
CustomTeleporter.CannotPortInCombat:      전투 중에는 이동할 수 없습니다.
EpicTeleporter.Interact.Celestius:        안녕하세요, {0}! [Celestius]로 보내드릴 수 있습니다.
EpicTeleporter.Teleport.Celestius:        Celestius로 이동시켜 드리겠습니다.
BGTeleporter.Interact.Menu:               안녕하세요, {0}! 다음 전장으로 보내드릴 수 있습니다:\n\n[AbermenaiAlb], [ThidrankiAlb], [MurdaigeanAlb], [CaledoniaAlb]\n\n[AbermenaiMid], [ThidrankiMid], [MurdaigeanMid], [CaledoniaMid]\n\n[AbermenaiHib], [ThidrankiHib], [MurdaigeanHib], [CaledoniaHib]
InstantLevelNPC.Interact.Menu:            안녕하세요, {0}. 알파 테스트 동안 캐릭터 경험치를 도와드릴 수 있습니다.\n\n[10], [20], [30], [40], [50] 중 어느 레벨이 좋으신가요?\n\n원하시면 캐릭터 레벨을 1로 [초기화]할 수도 있습니다.
InstantLevelNPC.LevelAlreadyHigher:       이미 그보다 높은 레벨입니다.
InstantLevelNPC.LevelGranted:             레벨 {0}에 도달할 만큼의 경험치를 드렸습니다!
InstantLevelNPC.LevelReset:               모든 경험치를 초기화했습니다.\n\n적용하려면 캐릭터로 다시 접속해 주세요.
InstantRRNPC.Interact.FreeRealmRank:      반갑습니다, {0}. 알파 테스트 동안 무료 [렐름 랭크 {1}]을 드릴 수 있습니다!
InstantRRNPC.Interact.Disabled:           죄송합니다, {0}. 더 이상 무료 렐름 랭크를 지급하지 말라는 지시를 받았습니다!
InstantRRNPC.Admin.Menu:                  무료 렐름 랭크를 얼마로 설정할까요?\n
LordOfBattle.Interact.Greeting:           반갑습니다, {0}.\n\n원하시면 당신 렐름의 [이벤트 지역]으로 돌려보내드릴 수 있습니다.
LordOfBattle.Resurrected:                 Mordred가 당신의 영혼을 부활할 가치가 있다고 판단했습니다!
LordOfBattle.Cowardice:                   이 투기장에서는 비겁함을 용납하지 않습니다.
BuffMerchantEvent.Interact.Greeting:      반갑습니다, {0}.\n당신이 용맹하게 영지를 지킬 수 있도록 강화하라는 지시를 받았습니다. 원하는 강화 토큰을 건네주시면 그에 맞게 힘을 불어넣어 드리겠습니다.
BuffMerchantEvent.FightWell:              잘 싸우십시오, {0}.
CustomNPC.TooFarToGive:                   {0}에게 무언가를 건네기에는 너무 멉니다.
CustomNPC.InvalidItem:                    잘못된 아이템입니다.
CustomNPC.EffectNPC.Greeting:             안녕하세요!\n비용만 지불하신다면 다양한 외형 꾸미기를 도와드릴 수 있습니다.\n아이템을 건네주시면 가격을 안내해 드리겠습니다.
CustomNPC.EffectNPC.ServicePrompt:        어떤 서비스를 원하시나요?\n아이템에 [효과]를 추가하거나 [염색]으로 색상을 바꿀 수 있습니다.\n\n또는 무기에서 [모든 효과 제거]나 [염색 제거]도 가능합니다.
CustomNPC.EffectNPC.ConfirmEffectPrompt:  둘러보기를 마치셨다면 [효과 확정]이라고 말씀해 주세요.
CustomNPC.EffectNPC.ConfirmColorPrompt:   둘러보기를 마치셨다면 [색상 확정]이라고 말씀해 주세요.
CustomNPC.EffectNPC.ChooseWeaponEffect:   무기 효과를 선택하세요:\n
CustomNPC.EffectNPC.ColorTypePrompt:      색상 계열을 선택하세요: {0}
CustomNPC.EffectNPC.CannotDye:            그 아이템은 염색할 수 없습니다.
CustomNPC.EffectNPC.ColorComplete:        후원 감사합니다. 색상이 아주 멋지게 나왔습니다. 자랑스럽게 착용하세요.
CustomNPC.EffectNPC.WeaponsAndShieldsOnly: 무기와 방패 외에는 작업할 수 없습니다.
CustomNPC.EffectNPC.EffectComplete:       후원 감사합니다. {0}이(가) 당신의 앞길을 밝게 열어주길 바랍니다.
CustomNPC.EffectNPC.CannotWorkWithItem:   아쉽지만 이 아이템은 작업할 수 없습니다.
# EffectNPC localized option labels
CustomNPC.EffectNPC.Option.Effect.LongswordPropaneStyleFlame: 롱소드 - 프로판식 불꽃
CustomNPC.EffectNPC.Option.Effect.LongswordRegularFlame: 롱소드 - 일반 불꽃
CustomNPC.EffectNPC.Option.Effect.LongswordOrangeFlame: 롱소드 - 주황 불꽃
CustomNPC.EffectNPC.Option.Effect.LongswordRisingFlame: 롱소드 - 솟아오르는 불꽃
CustomNPC.EffectNPC.Option.Effect.LongswordFlameWithSmoke: 롱소드 - 연기 섞인 불꽃
CustomNPC.EffectNPC.Option.Effect.LongswordFlameWithSparks: 롱소드 - 불꽃과 불꽃입자
CustomNPC.EffectNPC.Option.Effect.LongswordHotGlow: 롱소드 - 뜨거운 광채
CustomNPC.EffectNPC.Option.Effect.LongswordHotAura: 롱소드 - 뜨거운 오라
CustomNPC.EffectNPC.Option.Effect.LongswordBlueAura: 롱소드 - 파란 오라
CustomNPC.EffectNPC.Option.Effect.LongswordHotGoldGlow: 롱소드 - 뜨거운 금빛 광채
CustomNPC.EffectNPC.Option.Effect.LongswordHotBlueGlow: 롱소드 - 뜨거운 파란 광채
CustomNPC.EffectNPC.Option.Effect.LongswordHotRedGlow: 롱소드 - 뜨거운 붉은 광채
CustomNPC.EffectNPC.Option.Effect.LongswordRedAura: 롱소드 - 붉은 오라
CustomNPC.EffectNPC.Option.Effect.LongswordColdAuraWithSparkles: 롱소드 - 반짝이는 냉기 오라
CustomNPC.EffectNPC.Option.Effect.LongswordColdAuraWithVapor: 롱소드 - 차가운 안개 오라
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringBlueBeam: 롱소드 - 손잡이의 흔들리는 파란 광선
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringGreenBeam: 롱소드 - 손잡이의 흔들리는 초록 광선
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringRedBeam: 롱소드 - 손잡이의 흔들리는 붉은 광선
CustomNPC.EffectNPC.Option.Effect.LongswordHiltRedBlueBeam: 롱소드 - 손잡이의 붉고 파란 광선
CustomNPC.EffectNPC.Option.Effect.LongswordHiltPurpleBeam: 롱소드 - 손잡이의 보라 광선
CustomNPC.EffectNPC.Option.Effect.GreatSwordYellowFlames: 대검 - 노란 화염
CustomNPC.EffectNPC.Option.Effect.GreatSwordOrangeFlames: 대검 - 주황 화염
CustomNPC.EffectNPC.Option.Effect.GreatSwordFireWithSmoke: 대검 - 연기 섞인 불길
CustomNPC.EffectNPC.Option.Effect.GreatSwordFireWithSparks: 대검 - 불꽃입자가 튀는 불길
CustomNPC.EffectNPC.Option.Effect.GreatWeaponBlueGlowWithSparkles: 대형무기 - 반짝이는 파란 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponBlueAuraWithColdVapor: 대형무기 - 차가운 안개가 감도는 파란 오라
CustomNPC.EffectNPC.Option.Effect.GreatWeaponIcyBlueGlow: 대형무기 - 얼음빛 파란 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponRedAura: 대형무기 - 붉은 오라
CustomNPC.EffectNPC.Option.Effect.GreatWeaponStrongCrimsonGlow: 대형무기 - 강렬한 진홍 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponWhiteCoreRedGlow: 대형무기 - 하얀 중심의 붉은 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponSilveryWhiteGlow: 대형무기 - 은백색 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponGoldYellowGlow: 대형무기 - 금빛/노란 광채
CustomNPC.EffectNPC.Option.Effect.GreatWeaponHotGreenGlow: 대형무기 - 뜨거운 초록 광채
CustomNPC.EffectNPC.Option.Effect.HammerRedAura: 해머 - 붉은 오라
CustomNPC.EffectNPC.Option.Effect.HammerFieryGlow: 해머 - 불타는 광채
CustomNPC.EffectNPC.Option.Effect.HammerMoreIntenseFieryGlow: 해머 - 더 강렬한 불타는 광채
CustomNPC.EffectNPC.Option.Effect.HammerFlaming: 해머 - 타오르는 불꽃
CustomNPC.EffectNPC.Option.Effect.HammerTorchlikeFlaming: 해머 - 횃불 같은 불꽃
CustomNPC.EffectNPC.Option.Effect.HammerSilveryGlow: 해머 - 은빛 광채
CustomNPC.EffectNPC.Option.Effect.HammerPurpleGlow: 해머 - 보라 광채
CustomNPC.EffectNPC.Option.Effect.HammerBlueAura: 해머 - 파란 오라
CustomNPC.EffectNPC.Option.Effect.HammerBlueGlow: 해머 - 파란 광채
CustomNPC.EffectNPC.Option.Effect.HammerArcsFromHeadToHandle: 해머 - 머리부터 손잡이까지 번개
CustomNPC.EffectNPC.Option.Effect.CrushArcingHalo: 둔기 - 번개 고리
CustomNPC.EffectNPC.Option.Effect.CrushCenterArcing: 둔기 - 중앙 번개
CustomNPC.EffectNPC.Option.Effect.CrushSmallerArcingHalo: 둔기 - 작은 번개 고리
CustomNPC.EffectNPC.Option.Effect.CrushHotOrangeCoreGlow: 둔기 - 뜨거운 주황 중심 광채
CustomNPC.EffectNPC.Option.Effect.CrushOrangeAura: 둔기 - 주황 오라
CustomNPC.EffectNPC.Option.Effect.CrushSubtleAuraWithSparks: 둔기 - 희미한 오라와 불꽃입자
CustomNPC.EffectNPC.Option.Effect.CrushYellowFlame: 둔기 - 노란 불꽃
CustomNPC.EffectNPC.Option.Effect.CrushManaFlame: 둔기 - 마나 불꽃
CustomNPC.EffectNPC.Option.Effect.CrushHotGreenGlow: 둔기 - 뜨거운 초록 광채
CustomNPC.EffectNPC.Option.Effect.CrushHotRedGlow: 둔기 - 뜨거운 붉은 광채
CustomNPC.EffectNPC.Option.Effect.CrushHotPurpleGlow: 둔기 - 뜨거운 보라 광채
CustomNPC.EffectNPC.Option.Effect.CrushColdVapor: 둔기 - 차가운 안개
CustomNPC.EffectNPC.Option.Effect.AxeBasicFlame: 도끼 - 기본 불꽃
CustomNPC.EffectNPC.Option.Effect.AxeOrangeFlame: 도끼 - 주황 불꽃
CustomNPC.EffectNPC.Option.Effect.AxeSlowOrangeFlameWithSparks: 도끼 - 느린 주황 불꽃과 불꽃입자
CustomNPC.EffectNPC.Option.Effect.AxeFieryTrailingFlame: 도끼 - 흔적을 남기는 불꽃
CustomNPC.EffectNPC.Option.Effect.AxeColdVapor: 도끼 - 차가운 안개
CustomNPC.EffectNPC.Option.Effect.AxeBlueAuraWithTwinkles: 도끼 - 반짝이는 파란 오라
CustomNPC.EffectNPC.Option.Effect.AxeHotGreenGlow: 도끼 - 뜨거운 초록 광채
CustomNPC.EffectNPC.Option.Effect.AxeHotBlueGlow: 도끼 - 뜨거운 파란 광채
CustomNPC.EffectNPC.Option.Effect.AxeHotCyanGlow: 도끼 - 뜨거운 청록 광채
CustomNPC.EffectNPC.Option.Effect.AxeHotPurpleGlow: 도끼 - 뜨거운 보라 광채
CustomNPC.EffectNPC.Option.Effect.AxeBluePurpleOrangeGlow: 도끼 - 파랑-보라-주황 광채
CustomNPC.EffectNPC.Option.Effect.ShortswordPropaneFlame: 쇼트소드 - 프로판 불꽃
CustomNPC.EffectNPC.Option.Effect.ShortswordOrangeFlameWithSparks: 쇼트소드 - 주황 불꽃과 불꽃입자
CustomNPC.EffectNPC.Option.Effect.ShortswordBlueAuraWithTwinkles: 쇼트소드 - 반짝이는 파란 오라
CustomNPC.EffectNPC.Option.Effect.ShortswordGreenCloudWithBubbles: 쇼트소드 - 거품 섞인 초록 구름
CustomNPC.EffectNPC.Option.Effect.ShortswordRedAuraWithBloodBubbles: 쇼트소드 - 피거품 섞인 붉은 오라
CustomNPC.EffectNPC.Option.Effect.ShortswordEvilGreenGlow: 쇼트소드 - 사악한 초록 광채
CustomNPC.EffectNPC.Option.Effect.ShortswordBlackGlow: 쇼트소드 - 검은 광채
CustomNPC.EffectNPC.Option.Effect.BattlespearColdWithTwinkles: 배틀스피어 - 반짝이는 냉기
CustomNPC.EffectNPC.Option.Effect.BattlespearEvilGreenAura: 배틀스피어 - 사악한 초록 오라
CustomNPC.EffectNPC.Option.Effect.BattlespearEvilRedAura: 배틀스피어 - 사악한 붉은 오라
CustomNPC.EffectNPC.Option.Effect.BattlespearFlaming: 배틀스피어 - 타오르는 불꽃
CustomNPC.EffectNPC.Option.Effect.BattlespearHotGoldGlow: 배틀스피어 - 뜨거운 금빛 광채
CustomNPC.EffectNPC.Option.Effect.BattlespearHotFireGlow: 배틀스피어 - 뜨거운 불길 광채
CustomNPC.EffectNPC.Option.Effect.BattlespearRedAura: 배틀스피어 - 붉은 오라
CustomNPC.EffectNPC.Option.Effect.LuggedSpearBlueGlow: 러그드 스피어 - 파란 광채
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotBlueGlow: 러그드 스피어 - 뜨거운 파란 광채
CustomNPC.EffectNPC.Option.Effect.LuggedSpearColdWithTwinkles: 러그드 스피어 - 반짝이는 냉기
CustomNPC.EffectNPC.Option.Effect.LuggedSpearFlaming: 러그드 스피어 - 타오르는 불꽃
CustomNPC.EffectNPC.Option.Effect.LuggedSpearElectricArcing: 러그드 스피어 - 전기 번개
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotYellowFlame: 러그드 스피어 - 뜨거운 노란 불꽃
CustomNPC.EffectNPC.Option.Effect.LuggedSpearOrangeFlameWithSparks: 러그드 스피어 - 주황 불꽃과 불꽃입자
CustomNPC.EffectNPC.Option.Effect.LuggedSpearOrangeToPurpleFlame: 러그드 스피어 - 주황에서 보라로 변하는 불꽃
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotPurpleFlame: 러그드 스피어 - 뜨거운 보라 불꽃
CustomNPC.EffectNPC.Option.Effect.LuggedSpearSilveryGlow: 러그드 스피어 - 은빛 광채
CustomNPC.EffectNPC.Option.Effect.StaffBlueGlow: 지팡이 - 파란 광채
CustomNPC.EffectNPC.Option.Effect.StaffBlueGlowWithTwinkles: 지팡이 - 반짝이는 파란 광채
CustomNPC.EffectNPC.Option.Effect.StaffGoldGlow: 지팡이 - 금빛 광채
CustomNPC.EffectNPC.Option.Effect.StaffGoldGlowWithTwinkles: 지팡이 - 반짝이는 금빛 광채
CustomNPC.EffectNPC.Option.Effect.StaffFaintRedGlow: 지팡이 - 희미한 붉은 광채
CustomNPC.EffectNPC.Option.Dye.White: 흰색
CustomNPC.EffectNPC.Option.Dye.OldRed: 오래된 빨강
CustomNPC.EffectNPC.Option.Dye.OldGreen: 오래된 초록
CustomNPC.EffectNPC.Option.Dye.OldBlue: 오래된 파랑
CustomNPC.EffectNPC.Option.Dye.OldYellow: 오래된 노랑
CustomNPC.EffectNPC.Option.Dye.OldPurple: 오래된 보라
CustomNPC.EffectNPC.Option.Dye.Gray: 회색
CustomNPC.EffectNPC.Option.Dye.OldTurquoise: 오래된 청록
CustomNPC.EffectNPC.Option.Dye.LeatherYellow: 가죽 노랑
CustomNPC.EffectNPC.Option.Dye.LeatherRed: 가죽 빨강
CustomNPC.EffectNPC.Option.Dye.LeatherGreen: 가죽 초록
CustomNPC.EffectNPC.Option.Dye.LeatherOrange: 가죽 주황
CustomNPC.EffectNPC.Option.Dye.LeatherViolet: 가죽 바이올렛
CustomNPC.EffectNPC.Option.Dye.LeatherForestGreen: 가죽 숲 초록
CustomNPC.EffectNPC.Option.Dye.LeatherBlue: 가죽 파랑
CustomNPC.EffectNPC.Option.Dye.LeatherPurple: 가죽 보라
CustomNPC.EffectNPC.Option.Dye.Bronze: 청동
CustomNPC.EffectNPC.Option.Dye.Iron: 철
CustomNPC.EffectNPC.Option.Dye.Steel: 강철
CustomNPC.EffectNPC.Option.Dye.Alloy: 합금
CustomNPC.EffectNPC.Option.Dye.FineAlloy: 고급 합금
CustomNPC.EffectNPC.Option.Dye.Mithril: 미스릴
CustomNPC.EffectNPC.Option.Dye.Asterite: 아스테라이트
CustomNPC.EffectNPC.Option.Dye.Eog: 에오그
CustomNPC.EffectNPC.Option.Dye.Xenium: 제니움
CustomNPC.EffectNPC.Option.Dye.Vaanum: 바아눔
CustomNPC.EffectNPC.Option.Dye.Adamantium: 아다만티움
CustomNPC.EffectNPC.Option.Dye.RedCloth: 빨강 천
CustomNPC.EffectNPC.Option.Dye.OrangeCloth: 주황 천
CustomNPC.EffectNPC.Option.Dye.YellowOrangeCloth: 노랑-주황 천
CustomNPC.EffectNPC.Option.Dye.YellowCloth: 노랑 천
CustomNPC.EffectNPC.Option.Dye.YellowGreenCloth: 노랑-초록 천
CustomNPC.EffectNPC.Option.Dye.GreenCloth: 초록 천
CustomNPC.EffectNPC.Option.Dye.BlueGreenCloth: 파랑-초록 천
CustomNPC.EffectNPC.Option.Dye.TurquoiseCloth: 청록 천
CustomNPC.EffectNPC.Option.Dye.LightBlueCloth: 밝은 파랑 천
CustomNPC.EffectNPC.Option.Dye.BlueCloth: 파랑 천
CustomNPC.EffectNPC.Option.Dye.BlueVioletCloth: 파랑-바이올렛 천
CustomNPC.EffectNPC.Option.Dye.VioletCloth: 바이올렛 천
CustomNPC.EffectNPC.Option.Dye.BrightVioletCloth: 밝은 바이올렛 천
CustomNPC.EffectNPC.Option.Dye.PurpleCloth: 보라 천
CustomNPC.EffectNPC.Option.Dye.BrightPurpleCloth: 밝은 보라 천
CustomNPC.EffectNPC.Option.Dye.PurpleRedCloth: 보라-빨강 천
CustomNPC.EffectNPC.Option.Dye.BlackCloth: 검정 천
CustomNPC.EffectNPC.Option.Dye.BrownCloth: 갈색 천
CustomNPC.EffectNPC.Option.Dye.BlueMetal: 파랑 금속
CustomNPC.EffectNPC.Option.Dye.GreenMetal: 초록 금속
CustomNPC.EffectNPC.Option.Dye.YellowMetal: 노랑 금속
CustomNPC.EffectNPC.Option.Dye.GoldMetal: 금색 금속
CustomNPC.EffectNPC.Option.Dye.RedMetal: 빨강 금속
CustomNPC.EffectNPC.Option.Dye.PurpleMetal: 보라 금속
CustomNPC.EffectNPC.Option.Dye.Blue1: 파랑 1
CustomNPC.EffectNPC.Option.Dye.Blue2: 파랑 2
CustomNPC.EffectNPC.Option.Dye.Blue3: 파랑 3
CustomNPC.EffectNPC.Option.Dye.Blue4: 파랑 4
CustomNPC.EffectNPC.Option.Dye.Turquoise1: 청록 1
CustomNPC.EffectNPC.Option.Dye.Turquoise2: 청록 2
CustomNPC.EffectNPC.Option.Dye.Turquoise3: 청록 3
CustomNPC.EffectNPC.Option.Dye.Teal1: 청록 1
CustomNPC.EffectNPC.Option.Dye.Teal2: 청록 2
CustomNPC.EffectNPC.Option.Dye.Teal3: 청록 3
CustomNPC.EffectNPC.Option.Dye.Brown1: 갈색 1
CustomNPC.EffectNPC.Option.Dye.Brown2: 갈색 2
CustomNPC.EffectNPC.Option.Dye.Brown3: 갈색 3
CustomNPC.EffectNPC.Option.Dye.Red1: 빨강 1
CustomNPC.EffectNPC.Option.Dye.Red2: 빨강 2
CustomNPC.EffectNPC.Option.Dye.Red3: 빨강 3
CustomNPC.EffectNPC.Option.Dye.Red4: 빨강 4
CustomNPC.EffectNPC.Option.Dye.Green1: 초록 1
CustomNPC.EffectNPC.Option.Dye.Green2: 초록 2
