# Languages
System.LanguagesName.EN:				English
AllRealmsTeleporter.Menu.MidgardShroudedIsles:Where in Aegir would you like to go?\n[Aegirhamn]\n[Bjarken]\n[Hagall]\n[Knarr]
AllRealmsTeleporter.Menu.HiberniaFrontiers:  Where in the frontiers would you like to go?\n[Cruachan Gorge]\n[Druim Ligen]\n[Druim Cain]\n[Hibernia Agramon]
AllRealmsTeleporter.Menu.HiberniaMainland.Header:Where in Hibernia would you like to go?\n
AllRealmsTeleporter.Menu.HiberniaMainland.Body:[Mag Mell] (Levels 10-14)\n[Tir na mBeo] (Levels 15-19)\n[Ardagh] (Levels 20-24)\n[Howth] (Levels 25-29)\n[Connla] (Levels 30-34)\n[Innis Carthaig] (Levels 35+)\n[Druim Cain] (Levels 35+)\n[Cursed Forest] (Levels 45+)\n[Sheeroe Hills] (Levels 45+)\n[Shar Labyrinth]
AllRealmsTeleporter.Menu.HiberniaDungeons:   Which dungeon would you like to teleport to?\n[Muire Tomb] (Levels 10-18)\n[Spraggon Den] (Levels 18-26)\n[Koalinth Caverns] (Levels 26-34)\n[Treibh Caillte] (Levels 34-42)\n[Coruscating Mine] (Levels 42-50)\n[Tur Suil] (Levels 50+)\n[Fomor] (Epic)\n[Galladoria] (Epic)
AllRealmsTeleporter.Menu.HiberniaShroudedIsles:Where in Hy Brasil would you like to go?\n[Domnann]\n[Droighaid]\n[Aalid Feie]\n[Necht]
AllRealmsTeleporter.Menu.Housing:            I can send you to:\nYour [personal] house, if you have one,\nThe housing [entrance],\nYour [guild] house,\nor your [Hearth] bind.
AllRealmsTeleporter.Response.AtlantisUnauthorized:I am sorry, but you are not authorized to enter Atlantis at this time.
AllRealmsTeleporter.Response.OceanusArrival: You will soon arrive in the Haven of Oceanus.
AllRealmsTeleporter.Response.ShroudedIslesAwait:The Shrouded Isles await you.
AllRealmsTeleporter.Response.ArriveIn:       You shall soon arrive in {0}.
AllRealmsTeleporter.Response.ToFrontiers:    Now to the Frontiers for the glory of the realm!
AllRealmsTeleporter.Response.SeekAndFind:    {0} is what you seek, and {0} is what you shall find.
AllRealmsTeleporter.Response.PlaceUnavailableNow:Sorry, this place is not available for now!
AllRealmsTeleporter.Response.TooExperienced: Sorry, you are far too experienced to enjoy this place!
AllRealmsTeleporter.Response.BattlegroundInfo:I will teleport you to the appropriate battleground for your level and realm rank. If you exceed the realm rank for a battleground, you will not teleport. Please gain more experience to go to the next battleground.
AllRealmsTeleporter.Response.UnsupportedDestination:This destination is not yet supported.
AllRealmsTeleporter.Hearth.NoBindPoint:      Sorry, you have not set any house bind point yet.
AllRealmsTeleporter.Hearth.HouseRemoved:     I am afraid I cannot teleport you to your hearth since the house at your house bind location has been torn down.
AllRealmsTeleporter.Hearth.BindstoneRemoved: I am sorry to tell you that the bindstone at your current house bind location has been removed, so I cannot teleport you there.
AllRealmsTeleporter.Hearth.NoBindPermission: You are no longer allowed to bind at the house bindstone you previously chose, so I cannot teleport you there.
AncientBoundDjinn.Interact.UnknownRealm:     I do not know you. Which realm are you from?
AncientBoundDjinn.Whisper.Masters:           The Atlantean masters are a great and powerful people to whom [we] are bound.
AncientBoundDjinn.Teleport.DeliversToHaven:  The magic of the {0} delivers you to the Haven of {1}.
AncientBoundDjinn.Teleport.Distortion:       There is an odd distortion in the air around you...
AncientBoundDjinn.Interact.Intro:            According to the rules set down by the Atlantean [masters], you are authorized for expeditious transport to your homeland or any of the Havens. Please state your destination:
AncientBoundDjinn.Interact.Destinations.Albion: [Castle Sauvage], [Oceanus], [Stygia], [Volcanus], [Aerus], the [dungeons of Atlantis], [Snowdonia Fortress], [Camelot], [Gothwaite Harbor], [Inconnu Crypt], your [Guild] house, your [Personal] house, your [Hearth] bind, or to the [Caerwent] housing area?
AncientBoundDjinn.Interact.Destinations.Midgard: [Svasud Faste], [Oceanus], [Stygia], [Volcanus], [Aerus], the [dungeons of Atlantis], [Vindsaul Faste], [Jordheim], [Aegirhamn], [Kobold] Undercity, your [Guild] house, your [Personal] house, your [Hearth] bind, or to the [Erikstaad] housing area?
AncientBoundDjinn.Interact.Destinations.Hibernia: [Druim Ligen], [Oceanus], [Stygia], [Volcanus], [Aerus], the [dungeons of Atlantis], [Druim Cain], the [Grove of Domnann], [Tir na Nog], [Shar Labyrinth], your [Guild] house, your [Personal] house, your [Hearth] bind, or to the [Meath] housing area?
AncientBoundDjinn.SubSelection.Oceanus:       I can transport you to the Haven of Oceanus in Oceanus [Hesperos], the mouth of [Cetus' Pit], or the heights of the great [Temple] of Sobekite Eternal.
AncientBoundDjinn.SubSelection.Stygia:        Do you seek the sandy Haven of Stygia in the Stygian [Delta] or the distant [Land of Atum]?
AncientBoundDjinn.SubSelection.Volcanus:      Do you wish to approach [Typhon's Reach] from the Haven of Volcanus, or do you perhaps have more ambitious plans, such as attacking [Thusia Nesos], the Temple of [Apollo], [Vazul's Fortress], or the [Chimera] herself?
AncientBoundDjinn.SubSelection.Aerus:         Do you seek the Haven of Aerus outside [Green Glades] or perhaps the Temple of [Talos]?
AncientBoundDjinn.SubSelection.Dungeons:      I can provide access to [Sobekite Eternal], the Temple of [Twilight], the [Great Pyramid], the [Halls of Ma'ati], [Deep] within Volcanus, or even the [City] of Aerus.
AncientBoundDjinn.SubSelection.Twilight:      Do you seek an audience with one of the great ladies of that dark temple? I'm sure that [Moirai], [Kepa], [Casta], [Laodameia], [Antioos], [Sinovia], or even [Medusa] would love to have you over for dinner.
AncientBoundDjinn.SubSelection.HallsOfMaati:  Which interests you, the [entrance], the [Anubite] side, or the [An-Uat] side? Or are you already ready to face your final fate in the [Chamber of Ammut]?
AncientBoundDjinn.SubSelection.Deep:          Do you wish to meet with the Mediators of the [southwest] or [northeast] hall, face [Katorii's] gaze, or are you foolish enough to battle the likes of [Typhon himself]?
AncientBoundDjinn.SubSelection.City:          I can send you to the entrance near the [portal], the great Unifier, [Lethos], the [ancient kings] remembered now only for their reputations, the famous teacher, [Nelos], the most well known and honored avriel, [Katri], or even the [Phoenix] itself.
AncientBoundDjinn.Say:                        The {0} says, "{1}"
GameKeepDoor.Examine.Select:                  You select the {0}.
GameKeepDoor.Examine.YourRealm:               It belongs to your realm.
GameKeepDoor.Examine.EnemyAttackable:         It belongs to an enemy realm and can be attacked!
GameKeepDoor.Examine.EnemyRealm:              It belongs to an enemy realm!
GameKeepDoor.Broken:                          The {0} is broken!
UseSkillHandler.BackupStyle.MustUseAnytime:   You must use an anytime style as your backup.
UseSkillHandler.BackupStyle.NowUsing:         You will now use {0} as your backup.
UseSpellHandler.SpellCannotResolve:           Error: Spell (Line {0}, Level {1}) can't be resolved...
RegionChange.DestinationUnsupported:          Destination region {0} is not supported by your client type.
RegionChange.JumpPointException:              Exception in jump point ({0}) handler.
RegionChange.InvalidJumpPoint:                Jump point ({0}) has no valid destination.
PlayerMoveItem.InvalidItem:                   Invalid item (slot #{0}).
PlayerMoveItem.DroppedOnGround:               You drop {0} on the ground!
PlayerCommand.NoSuchCommand:                  No such command ({0})
Housing.Lockbox.Deposit:                      You deposit {0} in the lockbox.
Housing.Lockbox.Balance:                      The lockbox now has {0} in it. The weekly payment is {1}.
Housing.Lockbox.Prepaid:                      The house is now prepaid for the next {0} payments.
PlayerStatistics.Usage:                       Options: /stats [rp | lrp | kills | deathblows | irs | heal | rez | player <name|target>]
PlayerStatistics.Header:                      Statistics for {0} this session:
PlayerStatistics.TotalRp:                     Total RP: {0}
PlayerStatistics.RpFromKills:                 RP earned from kills: {0}
PlayerStatistics.KillsThatEarnedRp:           Kills that have earned RP: {0}
PlayerStatistics.Deathblows:                  Deathblows: {0}
PlayerStatistics.Deaths:                      Deaths: {0}
PlayerStatistics.HpHealed:                    HP healed: {0} and {1} RP gained from heal
PlayerStatistics.Resurrections:               Resurrections performed: {0}
PlayerStatistics.OnlineTime:                  Online time: {0} days, {1} hours, {2} minutes, {3} seconds
PlayerStatistics.RpPerHour:                   RP/hour: {0}
PlayerStatistics.KillsPerDeath:               Kills per death: {0}
PlayerStatistics.RpPerKill:                   RP per kill: {0}
PlayerStatistics.IRemainStanding:             "I Remain Standing...": {0}
PlayerStatistics.TopRealmPoints:              Top 20 for Realm Points\n{0}
PlayerStatistics.TopRpPerHour:                Top 20 for RP / Hour\n{0}
PlayerStatistics.TopKillers:                  Top 20 Killers\n{0}
PlayerStatistics.TopDeathblows:               Top 20 Deathblows\n{0}
PlayerStatistics.TopIRemainStanding:          Top 20 "I Remain Standing"\n{0}
PlayerStatistics.TopHealers:                  Top 20 Healers\n{0}
PlayerStatistics.TopResurrectors:             Top 20 Resurrectors\n{0}
PlayerStatistics.NoPlayerFound:               No player with name {0} found!
PlayerStatistics.PrivateStats:                {0} doesn't want you to view their stats.
PlayerStatistics.StatsAnon.Hidden:            Your stats are no longer visible to other players.
PlayerStatistics.StatsAnon.Visible:           Your stats are now visible to other players.
SummonedDjinn.Say.Greeting:                  Greetings, great one.
SummonedDjinn.Say.TimeDone:                  My time here is done.

## Relics and keeps
Relic.AlreadyCarrying:                    You are already carrying a relic.
Relic.CantPickupDead:                     You cannot pick up {0}. You are dead!
Relic.CantCarryStealthed:                 You cannot carry a relic while stealthed.
Relic.CantPickupOwned:                    You cannot pick up {0}. It is owned by your realm.
Relic.CantPickupNeedOwn:                  You cannot pick up {0}. You need to capture your realm's {1} relic first.
Relic.NeedPlayersOnPad:                   You must have {0} players near the pad before taking a relic.
Relic.NotEnoughBackpackSpace:             You don't have enough space in your backpack to carry this.
Keep.RelicKeepCannotClaim:                Relic keeps cannot be claimed.
Keep.UnderAttackCantClaim:                {0} is under attack and can't be claimed.
Keep.NotOwnedByRealm:                     The keep is not owned by your realm.
Keep.CannotBeClaimed:                     This keep is not able to be claimed.
Keep.MustBeInGuild:                       You must be in a guild to claim a keep.
Keep.NoGuildClaimPermission:              You do not have permission to claim for your guild.
Keep.AlreadyClaimed:                      The keep is already claimed.
Keep.ClaimingDisabled:                    Keep claiming is disabled!
Keep.GuildAlreadyOwnsOne:                 Your guild already owns a keep.
Keep.GuildOwnsLimit:                      Your guild already owns the limit of keeps ({0}).
Keep.NotEnoughMembersNearby:              Not enough group members are near the keep. You have {0}/{1}.
Keep.MustBeInGroup:                       You must be in a group to claim.
Keep.NeedPlayersToClaim:                  You need {0} players to claim.
Keep.ControlledBy:                        Controlled by {0}.

## Keep hookpoints
HookPoint.AlreadyUsed:                    The hookpoint is already used!
HookPoint.NotEnoughMoney:                 You don't have enough money!
HookPoint.NotEnoughBountyPoints:          You don't have enough bounty points!
HookPoint.BuyItem:                        You buy {0}.
HookPoint.NotImplemented:                 This hookpoint payment type is not implemented yet.
Door.Interact.Mesmerized:                 You are mesmerized!
Door.Interact.Stunned:                    You are stunned!
KeepLord.CantTalkUnderSiege:              You can't talk to the lord while under siege.
KeepLord.ClaimOrReleasePrompt:            Would you like to [Claim Keep] now? Or maybe [Release Keep]?
CustomTeleporter.Boss.RequireLevelGroup:  You must be level 50 and in a group to use this teleporter.
CustomTeleporter.Boss.Greeting:           Greetings, {0}.\n\nI can teleport you to our [boss arena] if you think you stand a chance.
CustomTeleporter.Battle.Greeting:         Greetings, {0}.\n\nI can teleport you to our [fight club], if you promise not to speak of it to anyone.
CustomTeleporter.CannotPortInCombat:      You can't port while in combat.
EpicTeleporter.Interact.Celestius:        Hello {0}! I can teleport you to [Celestius]
EpicTeleporter.Teleport.Celestius:        I am now teleporting you to Celestius.
BGTeleporter.Interact.Menu:               Hello {0}! I can teleport you to:\n\n[AbermenaiAlb], [ThidrankiAlb], [MurdaigeanAlb], [CaledoniaAlb]\n\n[AbermenaiMid], [ThidrankiMid], [MurdaigeanMid], [CaledoniaMid]\n\n[AbermenaiHib], [ThidrankiHib], [MurdaigeanHib], [CaledoniaHib]
InstantLevelNPC.Interact.Menu:            Hello {0}, during the alpha test I can help your character with experience.\n\nWould you like to be [10], [20], [30], [40] or [50]?\n\nI can also [reset] your character level to 1 if you ask me to.
InstantLevelNPC.LevelAlreadyHigher:       Your level is already higher than that.
InstantLevelNPC.LevelGranted:             I have given you enough experience to reach level {0}!
InstantLevelNPC.LevelReset:               I have reset all your experience.\n\nPlease relog your character to apply the change.
InstantRRNPC.Interact.FreeRealmRank:      Greetings, {0}. During the alpha test I can give you free [Realmrank {1}]!
InstantRRNPC.Interact.Disabled:           Sorry, {0}. I have been told not to grant free realm ranks anymore!
InstantRRNPC.Admin.Menu:                  What would you like the free realm rank to be?\n
LordOfBattle.Interact.Greeting:           Greetings, {0}.\n\nIf you desire, I can port you back to your realm's [event zone].
LordOfBattle.Resurrected:                 Mordred has found your soul worthy of resurrection!
LordOfBattle.Cowardice:                   Cowardice is not appreciated in this arena.
BuffMerchantEvent.Interact.Greeting:      Greetings, {0}.\nI have been instructed to strengthen you so that you may defend the lands with valor. Simply hand me the token for the enhancement you desire, and I will empower you accordingly.
BuffMerchantEvent.FightWell:              Fight well, {0}.
CustomNPC.TooFarToGive:                   You are too far away to give anything to {0}.
CustomNPC.InvalidItem:                    Invalid item.
CustomNPC.EffectNPC.Greeting:             Hello there!\nI can offer a variety of aesthetics... for those willing to pay for it.\nHand me the item and then we can talk prices.
CustomNPC.EffectNPC.ServicePrompt:        What service do you want to use?\nI can add an [effect] to it or change its color with a [dye].\n\nAlternatively, I can [remove all effects] or [remove dye] from your weapon.
CustomNPC.EffectNPC.ConfirmEffectPrompt:  When you are finished browsing, let me know and I will [confirm effect].
CustomNPC.EffectNPC.ConfirmColorPrompt:   When you are finished browsing, let me know and I will [confirm color].
CustomNPC.EffectNPC.ChooseWeaponEffect:   Choose a weapon effect:\n
CustomNPC.EffectNPC.ColorTypePrompt:      Please choose your type of color: {0}
CustomNPC.EffectNPC.CannotDye:            You can't dye that.
CustomNPC.EffectNPC.ColorComplete:        Thanks for your donation. The color has come out beautifully; wear it with pride.
CustomNPC.EffectNPC.WeaponsAndShieldsOnly: I cannot work on anything other than weapons and shields.
CustomNPC.EffectNPC.EffectComplete:       Thanks for your donation. May the {0} lead you to a bright future.
CustomNPC.EffectNPC.CannotWorkWithItem:   Unfortunately I cannot work with this item.
# EffectNPC localized option labels
CustomNPC.EffectNPC.Option.Effect.LongswordPropaneStyleFlame: longsword - propane-style flame
CustomNPC.EffectNPC.Option.Effect.LongswordRegularFlame: longsword - regular flame
CustomNPC.EffectNPC.Option.Effect.LongswordOrangeFlame: longsword - orange flame
CustomNPC.EffectNPC.Option.Effect.LongswordRisingFlame: longsword - rising flame
CustomNPC.EffectNPC.Option.Effect.LongswordFlameWithSmoke: longsword - flame with smoke
CustomNPC.EffectNPC.Option.Effect.LongswordFlameWithSparks: longsword - flame with sparks
CustomNPC.EffectNPC.Option.Effect.LongswordHotGlow: longsword - hot glow
CustomNPC.EffectNPC.Option.Effect.LongswordHotAura: longsword - hot aura
CustomNPC.EffectNPC.Option.Effect.LongswordBlueAura: longsword - blue aura
CustomNPC.EffectNPC.Option.Effect.LongswordHotGoldGlow: longsword - hot gold glow
CustomNPC.EffectNPC.Option.Effect.LongswordHotBlueGlow: longsword - hot blue glow
CustomNPC.EffectNPC.Option.Effect.LongswordHotRedGlow: longsword - hot red glow
CustomNPC.EffectNPC.Option.Effect.LongswordRedAura: longsword - red aura
CustomNPC.EffectNPC.Option.Effect.LongswordColdAuraWithSparkles: longsword - cold aura with sparkles
CustomNPC.EffectNPC.Option.Effect.LongswordColdAuraWithVapor: longsword - cold aura with vapor
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringBlueBeam: longsword - hilt wavering blue beam
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringGreenBeam: longsword - hilt wavering green beam
CustomNPC.EffectNPC.Option.Effect.LongswordHiltWaveringRedBeam: longsword - hilt wavering red beam
CustomNPC.EffectNPC.Option.Effect.LongswordHiltRedBlueBeam: longsword - hilt red/blue beam
CustomNPC.EffectNPC.Option.Effect.LongswordHiltPurpleBeam: longsword - hilt purple beam
CustomNPC.EffectNPC.Option.Effect.GreatSwordYellowFlames: gr sword - yellow flames
CustomNPC.EffectNPC.Option.Effect.GreatSwordOrangeFlames: gr sword - orange flames
CustomNPC.EffectNPC.Option.Effect.GreatSwordFireWithSmoke: gr sword - fire with smoke
CustomNPC.EffectNPC.Option.Effect.GreatSwordFireWithSparks: gr sword - fire with sparks
CustomNPC.EffectNPC.Option.Effect.GreatWeaponBlueGlowWithSparkles: gr - blue glow with sparkles
CustomNPC.EffectNPC.Option.Effect.GreatWeaponBlueAuraWithColdVapor: gr - blue aura with cold vapor
CustomNPC.EffectNPC.Option.Effect.GreatWeaponIcyBlueGlow: gr - icy blue glow
CustomNPC.EffectNPC.Option.Effect.GreatWeaponRedAura: gr - red aura
CustomNPC.EffectNPC.Option.Effect.GreatWeaponStrongCrimsonGlow: gr - strong crimson glow
CustomNPC.EffectNPC.Option.Effect.GreatWeaponWhiteCoreRedGlow: gr - white core red glow
CustomNPC.EffectNPC.Option.Effect.GreatWeaponSilveryWhiteGlow: gr - silvery/white glow
CustomNPC.EffectNPC.Option.Effect.GreatWeaponGoldYellowGlow: gr - gold/yellow glow
CustomNPC.EffectNPC.Option.Effect.GreatWeaponHotGreenGlow: gr - hot green glow
CustomNPC.EffectNPC.Option.Effect.HammerRedAura: hammer - red aura
CustomNPC.EffectNPC.Option.Effect.HammerFieryGlow: hammer - fiery glow
CustomNPC.EffectNPC.Option.Effect.HammerMoreIntenseFieryGlow: hammer - more intense fiery glow
CustomNPC.EffectNPC.Option.Effect.HammerFlaming: hammer - flaming
CustomNPC.EffectNPC.Option.Effect.HammerTorchlikeFlaming: hammer - torchlike flaming
CustomNPC.EffectNPC.Option.Effect.HammerSilveryGlow: hammer - silvery glow
CustomNPC.EffectNPC.Option.Effect.HammerPurpleGlow: hammer - purple glow
CustomNPC.EffectNPC.Option.Effect.HammerBlueAura: hammer - blue aura
CustomNPC.EffectNPC.Option.Effect.HammerBlueGlow: hammer - blue glow
CustomNPC.EffectNPC.Option.Effect.HammerArcsFromHeadToHandle: hammer - arcs from head to handle
CustomNPC.EffectNPC.Option.Effect.CrushArcingHalo: crush - arcing halo
CustomNPC.EffectNPC.Option.Effect.CrushCenterArcing: crush - center arcing
CustomNPC.EffectNPC.Option.Effect.CrushSmallerArcingHalo: crush - smaller arcing halo
CustomNPC.EffectNPC.Option.Effect.CrushHotOrangeCoreGlow: crush - hot orange core glow
CustomNPC.EffectNPC.Option.Effect.CrushOrangeAura: crush - orange aura
CustomNPC.EffectNPC.Option.Effect.CrushSubtleAuraWithSparks: crush - subtle aura with sparks
CustomNPC.EffectNPC.Option.Effect.CrushYellowFlame: crush - yellow flame
CustomNPC.EffectNPC.Option.Effect.CrushManaFlame: crush - mana flame
CustomNPC.EffectNPC.Option.Effect.CrushHotGreenGlow: crush - hot green glow
CustomNPC.EffectNPC.Option.Effect.CrushHotRedGlow: crush - hot red glow
CustomNPC.EffectNPC.Option.Effect.CrushHotPurpleGlow: crush - hot purple glow
CustomNPC.EffectNPC.Option.Effect.CrushColdVapor: crush - cold vapor
CustomNPC.EffectNPC.Option.Effect.AxeBasicFlame: axe - basic flame
CustomNPC.EffectNPC.Option.Effect.AxeOrangeFlame: axe - orange flame
CustomNPC.EffectNPC.Option.Effect.AxeSlowOrangeFlameWithSparks: axe - slow orange flame with sparks
CustomNPC.EffectNPC.Option.Effect.AxeFieryTrailingFlame: axe - fiery/trailing flame
CustomNPC.EffectNPC.Option.Effect.AxeColdVapor: axe - cold vapor
CustomNPC.EffectNPC.Option.Effect.AxeBlueAuraWithTwinkles: axe - blue aura with twinkles
CustomNPC.EffectNPC.Option.Effect.AxeHotGreenGlow: axe - hot green glow
CustomNPC.EffectNPC.Option.Effect.AxeHotBlueGlow: axe - hot blue glow
CustomNPC.EffectNPC.Option.Effect.AxeHotCyanGlow: axe - hot cyan glow
CustomNPC.EffectNPC.Option.Effect.AxeHotPurpleGlow: axe - hot purple glow
CustomNPC.EffectNPC.Option.Effect.AxeBluePurpleOrangeGlow: axe - blue->purple->orange glow
CustomNPC.EffectNPC.Option.Effect.ShortswordPropaneFlame: shortsword - propane flame
CustomNPC.EffectNPC.Option.Effect.ShortswordOrangeFlameWithSparks: shortsword - orange flame with sparks
CustomNPC.EffectNPC.Option.Effect.ShortswordBlueAuraWithTwinkles: shortsword - blue aura with twinkles
CustomNPC.EffectNPC.Option.Effect.ShortswordGreenCloudWithBubbles: shortsword - green cloud with bubbles
CustomNPC.EffectNPC.Option.Effect.ShortswordRedAuraWithBloodBubbles: shortsword - red aura with blood bubbles
CustomNPC.EffectNPC.Option.Effect.ShortswordEvilGreenGlow: shortsword - evil green glow
CustomNPC.EffectNPC.Option.Effect.ShortswordBlackGlow: shortsword - black glow
CustomNPC.EffectNPC.Option.Effect.BattlespearColdWithTwinkles: battlespear - cold with twinkles
CustomNPC.EffectNPC.Option.Effect.BattlespearEvilGreenAura: battlespear - evil green aura
CustomNPC.EffectNPC.Option.Effect.BattlespearEvilRedAura: battlespear - evil red aura
CustomNPC.EffectNPC.Option.Effect.BattlespearFlaming: battlespear - flaming
CustomNPC.EffectNPC.Option.Effect.BattlespearHotGoldGlow: battlespear - hot gold glow
CustomNPC.EffectNPC.Option.Effect.BattlespearHotFireGlow: battlespear - hot fire glow
CustomNPC.EffectNPC.Option.Effect.BattlespearRedAura: battlespear - red aura
CustomNPC.EffectNPC.Option.Effect.LuggedSpearBlueGlow: lugged spear - blue glow
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotBlueGlow: lugged spear - hot blue glow
CustomNPC.EffectNPC.Option.Effect.LuggedSpearColdWithTwinkles: lugged spear - cold with twinkles
CustomNPC.EffectNPC.Option.Effect.LuggedSpearFlaming: lugged spear - flaming
CustomNPC.EffectNPC.Option.Effect.LuggedSpearElectricArcing: lugged spear - electric arcing
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotYellowFlame: lugged spear - hot yellow flame
CustomNPC.EffectNPC.Option.Effect.LuggedSpearOrangeFlameWithSparks: lugged spear - orange flame with sparks
CustomNPC.EffectNPC.Option.Effect.LuggedSpearOrangeToPurpleFlame: lugged spear - orange to purple flame
CustomNPC.EffectNPC.Option.Effect.LuggedSpearHotPurpleFlame: lugged spear - hot purple flame
CustomNPC.EffectNPC.Option.Effect.LuggedSpearSilveryGlow: lugged spear - silvery glow
CustomNPC.EffectNPC.Option.Effect.StaffBlueGlow: staff - blue glow
CustomNPC.EffectNPC.Option.Effect.StaffBlueGlowWithTwinkles: staff - blue glow with twinkles
CustomNPC.EffectNPC.Option.Effect.StaffGoldGlow: staff - gold glow
CustomNPC.EffectNPC.Option.Effect.StaffGoldGlowWithTwinkles: staff - gold glow with twinkles
CustomNPC.EffectNPC.Option.Effect.StaffFaintRedGlow: staff - faint red glow
CustomNPC.EffectNPC.Option.Dye.White: White
CustomNPC.EffectNPC.Option.Dye.OldRed: Old Red
CustomNPC.EffectNPC.Option.Dye.OldGreen: Old Green
CustomNPC.EffectNPC.Option.Dye.OldBlue: Old Blue
CustomNPC.EffectNPC.Option.Dye.OldYellow: Old Yellow
CustomNPC.EffectNPC.Option.Dye.OldPurple: Old Purple
CustomNPC.EffectNPC.Option.Dye.Gray: Gray
CustomNPC.EffectNPC.Option.Dye.OldTurquoise: Old Turquoise
CustomNPC.EffectNPC.Option.Dye.LeatherYellow: Leather Yellow
CustomNPC.EffectNPC.Option.Dye.LeatherRed: Leather Red
CustomNPC.EffectNPC.Option.Dye.LeatherGreen: Leather Green
CustomNPC.EffectNPC.Option.Dye.LeatherOrange: Leather Orange
CustomNPC.EffectNPC.Option.Dye.LeatherViolet: Leather Violet
CustomNPC.EffectNPC.Option.Dye.LeatherForestGreen: Leather Forest Green
CustomNPC.EffectNPC.Option.Dye.LeatherBlue: Leather Blue
CustomNPC.EffectNPC.Option.Dye.LeatherPurple: Leather Purple
CustomNPC.EffectNPC.Option.Dye.Bronze: Bronze
CustomNPC.EffectNPC.Option.Dye.Iron: Iron
CustomNPC.EffectNPC.Option.Dye.Steel: Steel
CustomNPC.EffectNPC.Option.Dye.Alloy: Alloy
CustomNPC.EffectNPC.Option.Dye.FineAlloy: Fine Alloy
CustomNPC.EffectNPC.Option.Dye.Mithril: Mithril
CustomNPC.EffectNPC.Option.Dye.Asterite: Asterite
CustomNPC.EffectNPC.Option.Dye.Eog: Eog
CustomNPC.EffectNPC.Option.Dye.Xenium: Xenium
CustomNPC.EffectNPC.Option.Dye.Vaanum: Vaanum
CustomNPC.EffectNPC.Option.Dye.Adamantium: Adamantium
CustomNPC.EffectNPC.Option.Dye.RedCloth: Red Cloth
CustomNPC.EffectNPC.Option.Dye.OrangeCloth: Orange Cloth
CustomNPC.EffectNPC.Option.Dye.YellowOrangeCloth: Yellow-Orange Cloth
CustomNPC.EffectNPC.Option.Dye.YellowCloth: Yellow Cloth
CustomNPC.EffectNPC.Option.Dye.YellowGreenCloth: Yellow-Green Cloth
CustomNPC.EffectNPC.Option.Dye.GreenCloth: Green Cloth
CustomNPC.EffectNPC.Option.Dye.BlueGreenCloth: Blue-Green Cloth
CustomNPC.EffectNPC.Option.Dye.TurquoiseCloth: Turquoise Cloth
CustomNPC.EffectNPC.Option.Dye.LightBlueCloth: Light Blue Cloth
CustomNPC.EffectNPC.Option.Dye.BlueCloth: Blue Cloth
CustomNPC.EffectNPC.Option.Dye.BlueVioletCloth: Blue-Violet Cloth
CustomNPC.EffectNPC.Option.Dye.VioletCloth: Violet Cloth
CustomNPC.EffectNPC.Option.Dye.BrightVioletCloth: Bright Violet Cloth
CustomNPC.EffectNPC.Option.Dye.PurpleCloth: Purple Cloth
CustomNPC.EffectNPC.Option.Dye.BrightPurpleCloth: Bright Purple Cloth
CustomNPC.EffectNPC.Option.Dye.PurpleRedCloth: Purple-Red Cloth
CustomNPC.EffectNPC.Option.Dye.BlackCloth: Black Cloth
CustomNPC.EffectNPC.Option.Dye.BrownCloth: Brown Cloth
CustomNPC.EffectNPC.Option.Dye.BlueMetal: Blue Metal
CustomNPC.EffectNPC.Option.Dye.GreenMetal: Green Metal
CustomNPC.EffectNPC.Option.Dye.YellowMetal: Yellow Metal
CustomNPC.EffectNPC.Option.Dye.GoldMetal: Gold Metal
CustomNPC.EffectNPC.Option.Dye.RedMetal: Red Metal
CustomNPC.EffectNPC.Option.Dye.PurpleMetal: Purple Metal
CustomNPC.EffectNPC.Option.Dye.Blue1: Blue 1
CustomNPC.EffectNPC.Option.Dye.Blue2: Blue 2
CustomNPC.EffectNPC.Option.Dye.Blue3: Blue 3
CustomNPC.EffectNPC.Option.Dye.Blue4: Blue 4
CustomNPC.EffectNPC.Option.Dye.Turquoise1: Turquoise 1
CustomNPC.EffectNPC.Option.Dye.Turquoise2: Turquoise 2
CustomNPC.EffectNPC.Option.Dye.Turquoise3: Turquoise 3
CustomNPC.EffectNPC.Option.Dye.Teal1: Teal 1
CustomNPC.EffectNPC.Option.Dye.Teal2: Teal 2
CustomNPC.EffectNPC.Option.Dye.Teal3: Teal 3
CustomNPC.EffectNPC.Option.Dye.Brown1: Brown 1
CustomNPC.EffectNPC.Option.Dye.Brown2: Brown 2
CustomNPC.EffectNPC.Option.Dye.Brown3: Brown 3
CustomNPC.EffectNPC.Option.Dye.Red1: Red 1
CustomNPC.EffectNPC.Option.Dye.Red2: Red 2
CustomNPC.EffectNPC.Option.Dye.Red3: Red 3
CustomNPC.EffectNPC.Option.Dye.Red4: Red 4
CustomNPC.EffectNPC.Option.Dye.Green1: Green 1
CustomNPC.EffectNPC.Option.Dye.Green2: Green 2
CustomNPC.EffectNPC.Option.Dye.Green3: Green 3
CustomNPC.EffectNPC.Option.Dye.Green4: Green 4
CustomNPC.EffectNPC.Option.Dye.Gray1: Gray 1
